"id","display_name","issn_l","count"
"https://openalex.org/S32326811","The Journal of Supercomputing","0920-8542",15
"https://openalex.org/S4210206003","ACM SIGACT News","0163-5700",15
"https://openalex.org/S74726891","Applied Intelligence","0924-669X",15
"https://openalex.org/S2483380313","ACM Transactions on Parallel Computing","2329-4949",15
"https://openalex.org/S103671469","Discrete & Computational Geometry","0179-5376",15
"https://openalex.org/S2764461748","Studies in computational intelligence","1860-949X",15
"https://openalex.org/S123019304","Neural Networks","0893-6080",15
"https://openalex.org/S167961193","Journal of Statistical Software","1548-7660",15
"https://openalex.org/S18902827","Discrete Mathematics","0012-365X",15
"https://openalex.org/S114241109","IEEE Intelligent Systems","1541-1672",15
"https://openalex.org/S33368595","International Journal of Approximate Reasoning","0888-613X",15
"https://openalex.org/S186480540","Psychometrika","0033-3123",14
"https://openalex.org/S2492498579","IEEE Transactions on Cloud Computing","2168-7161",14
"https://openalex.org/S16958353","SIAM Journal on Matrix Analysis and Applications","0895-4798",14
"https://openalex.org/S40788348","Statistical Analysis and Data Mining The ASA Data Science Journal","1932-1864",14
"https://openalex.org/S4210191919","Journal of Privacy and Confidentiality","2575-8527",14
"https://openalex.org/S7560371","Information Fusion","1566-2535",14
"https://openalex.org/S184777250","IEEE Transactions on Industrial Informatics","1551-3203",14
"https://openalex.org/S120977877","IEEE Signal Processing Magazine","1053-5888",13
"https://openalex.org/S11479521","Decision Support Systems","0167-9236",13
"https://openalex.org/S165318533","INFORMS journal on computing","1091-9856",13
"https://openalex.org/S159894308","Geographical Analysis","0016-7363",13
"https://openalex.org/S64187185","Nature Communications","2041-1723",13
"https://openalex.org/S115925768","Journal of Global Optimization","0925-5001",13
"https://openalex.org/S155526855","Computational Linguistics","0891-2017",13
"https://openalex.org/S67831204","Computer Graphics Forum","0167-7055",13
"https://openalex.org/S4179095","The American Statistician","0003-1305",13
"https://openalex.org/S2764431341","ISPRS International Journal of Geo-Information","2220-9964",13
"https://openalex.org/S30128005","Journal of Network and Computer Applications","1084-8045",13
"https://openalex.org/S43092948","Genome Research","1088-9051",13
"https://openalex.org/S17643076","IEEE Computer Architecture Letters","1556-6056",13
"https://openalex.org/S4210172589","SSRN Electronic Journal","1556-5068",12
"https://openalex.org/S42080949","IEEE Transactions on Neural Networks","1045-9227",12
"https://openalex.org/S4210188176","Foundations and Trends® in Machine Learning","1935-8237",12
"https://openalex.org/S96305778","Transportation Research Part B Methodological","0191-2615",12
"https://openalex.org/S130252234","Transportation Science","0041-1655",12
"https://openalex.org/S11622463","Journal of Biomedical Informatics","1532-0464",12
"https://openalex.org/S6756005","ACM SIGIR Forum","0163-5840",12
"https://openalex.org/S4210220780","Journal of the American Society for Information Science","0002-8231",12
"https://openalex.org/S73012565","Datenbank-Spektrum","1618-2162",12
"https://openalex.org/S45003570","Performance Evaluation","0166-5316",12
"https://openalex.org/S186584794","IEEE Network","0890-8044",12
"https://openalex.org/S2490693980","IEEE Transactions on Computational Social Systems","2329-924X",12
"https://openalex.org/S148521650","International Journal of Parallel Programming","0885-7458",12
"https://openalex.org/S122814990","Artificial Intelligence Review","0269-2821",11
"https://openalex.org/S4210193547","Proceedings of the ACM on Measurement and Analysis of Computing Systems","2476-1249",11
"https://openalex.org/S196734849","Scientific Reports","2045-2322",11
"https://openalex.org/S27769002","Operations Research Letters","0167-6377",11
"https://openalex.org/S4210214273","The Journal of Open Source Software","2475-9066",11
"https://openalex.org/S110206669","Multimedia Tools and Applications","1380-7501",11
"https://openalex.org/S205010575","Information and Software Technology","0950-5849",11
"https://openalex.org/S55152591","Information Visualization","1473-8716",11
"https://openalex.org/S115173108","IEEE Transactions on Circuits and Systems for Video Technology","1051-8215",11
"https://openalex.org/S2939117604","Journal of Combinatorial Theory Series B","0095-8956",11
"https://openalex.org/S42468263","Artificial Intelligence in Medicine","0933-3657",11
"https://openalex.org/S129839026","Journal of the American Medical Informatics Association","1067-5027",11
"https://openalex.org/S35593046","Computing","0010-485X",11
"https://openalex.org/S6725529","IEEE Software","0740-7459",10
"https://openalex.org/S60606485","The International Journal of High Performance Computing Applications","1094-3420",10
"https://openalex.org/S24807848","Physical Review Letters","0031-9007",10
"https://openalex.org/S2503711797","ACM Transactions on Spatial Algorithms and Systems","2374-0353",10
"https://openalex.org/S183492911","Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE","0277-786X",10
"https://openalex.org/S190936789","Journal of Cryptology","0933-2790",10
"https://openalex.org/S190629608","Algorithms","1999-4893",10
"https://openalex.org/S86033158","PLoS Computational Biology","1553-734X",10
"https://openalex.org/S100835903","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","0278-0070",10
"https://openalex.org/S173527311","IEEE Transactions on Network and Service Management","1932-4537",10
"https://openalex.org/S127660348","Journal of Systems Architecture","1383-7621",10
"https://openalex.org/S900972176","Engineering Applications of Artificial Intelligence","0952-1976",10
"https://openalex.org/S81160022","Genome biology","1474-7596",10
"https://openalex.org/S106148199","Cluster Computing","1386-7857",10
"https://openalex.org/S24191132","IEEE Pervasive Computing","1536-1268",10
"https://openalex.org/S156280010","American Mathematical Monthly","0002-9890",10
"https://openalex.org/S12529635","Computers & Security","0167-4048",10
"https://openalex.org/S140556538","Applied Soft Computing","1568-4946",10
"https://openalex.org/S64511102","Transportation Research Part C Emerging Technologies","0968-090X",9
"https://openalex.org/S4210205691","Computers & Mathematics with Applications","0898-1221",9
"https://openalex.org/S38337076","Clinical Neurophysiology","1388-2457",9
"https://openalex.org/S928796702","SIAM Journal on Optimization","1052-6234",9
"https://openalex.org/S163424111","Journal of Discrete Algorithms","1570-8667",9
"https://openalex.org/S21029587","Science of Computer Programming","0167-6423",9
"https://openalex.org/S4220651651","Proceedings of the Python in Science Conferences","2575-9752",9
"https://openalex.org/S4210191041","IEEE Transactions on Cybernetics","2168-2267",9
"https://openalex.org/S127827428","Nature Methods","1548-7091",9
"https://openalex.org/S117153874","ACM Transactions on Computational Logic","1529-3785",9
"https://openalex.org/S24688465","Physica A Statistical Mechanics and its Applications","0378-4371",9
"https://openalex.org/S145575934","Transportation Research Record Journal of the Transportation Research Board","0361-1981",9
"https://openalex.org/S87725633","IEEE Transactions on Reliability","0018-9529",9
"https://openalex.org/S72366220","COMBINATORICA","0209-9683",9
"https://openalex.org/S137506714","The Knowledge Engineering Review","0269-8889",9
"https://openalex.org/S33451491","Journal of Graph Algorithms and Applications","1526-1719",9
"https://openalex.org/S167943036","Journal of Statistical Mechanics Theory and Experiment","1742-5468",9
"https://openalex.org/S5437875","Statistics and Computing","0960-3174",9
"https://openalex.org/S103225281","NeuroImage","1053-8119",9
"https://openalex.org/S80150607","Journal of Transport Geography","0966-6923",9
"https://openalex.org/S23254222","American Economic Review","0002-8282",9
"https://openalex.org/S4210192454","Information and Control","0019-9958",9
"https://openalex.org/S197106261","Foundations and Trends® in Information Retrieval","1554-0669",8
"https://openalex.org/S4210183893","Proceedings of the ACM on Human-Computer Interaction","2573-0142",8
"https://openalex.org/S4210224189","International Conference on Scientific and Statistical Database Management","1551-6393",8
"https://openalex.org/S156274416","Nature Physics","1745-2473",8
"https://openalex.org/S4210226731","Big Data","2167-6461",8
"https://openalex.org/S136160450","ACM Transactions on Embedded Computing Systems","1539-9087",8
"https://openalex.org/S61699894","Computers & Geosciences","0098-3004",8
"https://openalex.org/S4210188263","Computer applications in the biosciences","0266-7061",8
"https://openalex.org/S91767247","Briefings in Bioinformatics","1467-5463",8
"https://openalex.org/S18088403","Natural Language Engineering","1351-3249",8
"https://openalex.org/S4210222172","Springer texts in statistics","1431-875X",8
"https://openalex.org/S4210224030","Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics","1063-651X",8
"https://openalex.org/S184954342","IEEE Transactions on Automatic Control","0018-9286",8
"https://openalex.org/S86488779","The Journal of Logic Programming","0743-1066",8
"https://openalex.org/S160628929","User Modeling and User-Adapted Interaction","0924-1868",8
"https://openalex.org/S158797327","IEEE Communications Magazine","0163-6804",8
"https://openalex.org/S2491565770","Big Data Research","2214-5796",8
"https://openalex.org/S188336720","Accident Analysis & Prevention","0001-4575",8
"https://openalex.org/S2607323502","Scientific Data","2052-4463",8
"https://openalex.org/S106963461","Nature Biotechnology","1087-0156",8
"https://openalex.org/S17395904","International Statistical Review","0306-7734",8
"https://openalex.org/S933803995","Synthesis lectures on artificial intelligence and machine learning","1939-4608",7
"https://openalex.org/S2764905038","Advances in intelligent systems and computing","2194-5365",7
"https://openalex.org/S173077093","Mathematical Programming Computation","1867-2957",7
"https://openalex.org/S859791518","Transactions in GIS","1361-1682",7
"https://openalex.org/S2642811","ACM Transactions on Information and System Security","1094-9224",7
"https://openalex.org/S9093621","The Annals of Applied Probability","1050-5164",7
"https://openalex.org/S89276529","ACM Transactions on Computer-Human Interaction","1073-0516",7
"https://openalex.org/S147897268","Neural Computing and Applications","0941-0643",7
"https://openalex.org/S4210205812","Applied Sciences","2076-3417",7
"https://openalex.org/S167262187","Journal of Chemical Information and Modeling","1549-9596",7
"https://openalex.org/S4210201401","Graduate texts in mathematics","0072-5285",7
"https://openalex.org/S39243548","Computational Optimization and Applications","0926-6003",7
"https://openalex.org/S4210170305","ACM Transactions on Management Information Systems","2158-656X",7
"https://openalex.org/S48633963","Physics Reports","0370-1573",7
"https://openalex.org/S12266929","Journal of Functional Programming","0956-7968",7
"https://openalex.org/S60115552","Computers Environment and Urban Systems","0198-9715",7
"https://openalex.org/S59667848","Random Structures and Algorithms","1042-9832",7
"https://openalex.org/S12967704","Statistical Science","0883-4237",7
"https://openalex.org/S127472826","Bell System Technical Journal","0005-8580",7
"https://openalex.org/S110848248","Foundations and Trends® in Theoretical Computer Science","1551-305X",7
"https://openalex.org/S4210177973","DIMACS series in discrete mathematics and theoretical computer science","1052-1798",7
"https://openalex.org/S137905309","Nature Genetics","1061-4036",7
"https://openalex.org/S94044085","Games and Economic Behavior","0899-8256",7
"https://openalex.org/S163019073","AI Magazine","0738-4602",7
"https://openalex.org/S99781599","Journal of Automated Reasoning","0168-7433",7
"https://openalex.org/S172573765","JAMA","0098-7484",7
"https://openalex.org/S170502224","ACM Transactions on Sensor Networks","1550-4859",7
"https://openalex.org/S27924493","SIGSPATIAL Special","1946-7729",7
"https://openalex.org/S107325288","Social Choice and Welfare","0176-1714",7
"https://openalex.org/S46058472","Journal of Molecular Biology","0022-2836",7
"https://openalex.org/S4210206007","International Journal of Computer Applications","0975-8887",7
"https://openalex.org/S115004586","Computer Communications","0140-3664",7
"https://openalex.org/S98930721","IEEE Transactions on Acoustics Speech and Signal Processing","0096-3518",7
"https://openalex.org/S4387284482","Proceedings of the International AAAI Conference on Web and Social Media","2162-3449",6
"https://openalex.org/S140218187","Journal of Grid Computing","1570-7873",6
"https://openalex.org/S73028643","Journal of Classification","0176-4268",6
"https://openalex.org/S185008460","Computer Vision and Image Understanding","1077-3142",6
"https://openalex.org/S4210227557","IEEE Transactions on Systems Man and Cybernetics Part C (Applications and Reviews)","1094-6977",6
"https://openalex.org/S106992369","Journal of Computer Security","0926-227X",6
"https://openalex.org/S2912241403","Nature Machine Intelligence","2522-5839",6
"https://openalex.org/S68937846","IEEE Transactions on Information Technology in Biomedicine","1089-7771",6
"https://openalex.org/S41486457","International Journal of Pattern Recognition and Artificial Intelligence","0218-0014",6
"https://openalex.org/S122471516","American Journal of Sociology","0002-9602",6
"https://openalex.org/S206928812","Journal of Visual Languages & Computing","1045-926X",6
"https://openalex.org/S169988927","Journal of the Operational Research Society","0160-5682",6
"https://openalex.org/S78571599","Journal of Computational Biology","1066-5277",6
"https://openalex.org/S195663288","Monthly Notices of the Royal Astronomical Society","0035-8711",6
"https://openalex.org/S68047077","International Journal of Foundations of Computer Science","0129-0541",6
"https://openalex.org/S4210219751","Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies","2474-9567",6
"https://openalex.org/S22130598","Computer Science - Research and Development","1865-2034",6
"https://openalex.org/S196821226","Computers & Industrial Engineering","0360-8352",6
"https://openalex.org/S206848516","Wiley Interdisciplinary Reviews Computational Statistics","1939-0068",6
"https://openalex.org/S102439543","Mathematics of Computation","0025-5718",6
"https://openalex.org/S4210190151","Omega","0305-0483",6
"https://openalex.org/S57667410","Annals of Operations Research","0254-5330",6
"https://openalex.org/S65690446","International Journal of Production Research","0020-7543",6
"https://openalex.org/S4210205483","Applied optimization","1384-6485",6
"https://openalex.org/S177430994","Image and Vision Computing","0262-8856",6
"https://openalex.org/S192217950","Mathematische Annalen","0025-5831",6
"https://openalex.org/S171559003","Journal of Chemical Information and Computer Sciences","0095-2338",6
"https://openalex.org/S154637859","Signal Processing","0165-1684",6
"https://openalex.org/S55189604","Statistics in Medicine","0277-6715",6
"https://openalex.org/S2486202937","IEICE Transactions on Information and Systems","0916-8532",6
"https://openalex.org/S205231332","Astronomy and Astrophysics","0004-6361",6
"https://openalex.org/S962203723","Synthesis lectures on computer architecture","1935-3235",6
"https://openalex.org/S4210181451","XRDS Crossroads The ACM Magazine for Students","1528-4972",6
"https://openalex.org/S105243760","Applied Physics Letters","0003-6951",6
"https://openalex.org/S45497385","Pattern Analysis and Applications","1433-7541",6
"https://openalex.org/S201921491","IEEE Transactions on Power Systems","0885-8950",6
"https://openalex.org/S119950638","Journal of Marketing Research","0022-2437",6
"https://openalex.org/S57950554","International Journal of Intelligent Systems","0884-8173",6
"https://openalex.org/S165473669","Journal of Computational and Applied Mathematics","0377-0427",6
"https://openalex.org/S4210202905","Electronics","2079-9292",6
"https://openalex.org/S132362803","Computational Statistics & Data Analysis","0167-9473",6
"https://openalex.org/S76152103","IEEE Transactions on Systems Man and Cybernetics","0018-9472",5
"https://openalex.org/S58126648","Personal and Ubiquitous Computing","1617-4909",5
"https://openalex.org/S4210228303","LISP and Symbolic Computation","0892-4635",5
"https://openalex.org/S68913162","Journal of Information Science","0165-5515",5
"https://openalex.org/S2531583244","Journal of Complex Networks","2051-1310",5
"https://openalex.org/S4210209078","IEEE Transactions on Systems Man and Cybernetics Systems","2168-2216",5
"https://openalex.org/S4210170378","IEEE Transactions on Systems Man and Cybernetics Part B (Cybernetics)","1083-4419",5
"https://openalex.org/S116127033","Journal of Clinical Neurophysiology","0736-0258",5
"https://openalex.org/S203348814","SIAM Journal on Numerical Analysis","0036-1429",5
"https://openalex.org/S4210214951","Journal of the Society for Industrial and Applied Mathematics","0368-4245",5
"https://openalex.org/S169174478","Journal on Data Semantics","1861-2032",5
"https://openalex.org/S3035517252","Applied Network Science","2364-8228",5
"https://openalex.org/S206595242","Journal of Time Series Analysis","0143-9782",5
"https://openalex.org/S159544283","Linear Algebra and its Applications","0024-3795",5
"https://openalex.org/S44278595","Computers in Biology and Medicine","0010-4825",5
"https://openalex.org/S105424869","Journal of Visual Communication and Image Representation","1047-3203",5
"https://openalex.org/S59604973","IEEE Transactions on Smart Grid","1949-3053",5
"https://openalex.org/S2764642956","Journal of the Royal Statistical Society Series C (Applied Statistics)","0035-9254",5
"https://openalex.org/S9051360","The European Physical Journal B","1434-6028",5
"https://openalex.org/S104797584","IEEE Computational Intelligence Magazine","1556-603X",5
